CandidateID,Candidate,Contributor Location,Amount
507242,"Tehfa, Sukaina",Undisclosed,0.0
507256,"Klich, Amanda",Undisclosed,0.0
509364,"Kopacz, Robyn",Undisclosed,0.0
509365,"Cubberly, Scott",Undisclosed,0.0
509366,"Yacoub, Remonda",Undisclosed,0.0
509367,"Hladik, John",Undisclosed,0.0
509368,"Alexander, Melissa",Undisclosed,0.0
509369,"Santos, Genesis",Undisclosed,0.0
509370,"Ditchkus, Lisa",Undisclosed,0.0
509371,"Leone, Heather",Undisclosed,0.0
509372,"Angley, Sharyn",Undisclosed,0.0
509373,"Oxman, Adrian",Undisclosed,0.0
509374,"Dallara, Sheillah",Undisclosed,0.0
509375,"Waiters, Patricia",Undisclosed,0.0
509376,"Verdibello, Gina",Undisclosed,0.0
509377,"Taube, Jessica",Undisclosed,0.0
509378,"Williams, Chloe",Undisclosed,0.0
509379,"Walker, Danielle",Undisclosed,0.0
509380,"Patel, Alpa B",Undisclosed,0.0
509381,"Blount, George P",Undisclosed,0.0
509382,"Morris, De'Jon",Undisclosed,0.0
509383,"Rodriguez, Vanessa",Undisclosed,0.0
509384,"Vogt, Julietta",Undisclosed,0.0
509385,"Bahadur, Videsh A",Undisclosed,0.0
509386,"Garcia, Fernando",Undisclosed,0.0
509387,"Masongo, Zebedayo",Undisclosed,0.0
509388,"Paris, Samantha",Undisclosed,0.0
509389,"Viscuso, Sj Zibbie",Undisclosed,0.0
509390,"Cifelli-Pettigrew, Laura",Undisclosed,0.0
509391,"Rodrigues, Ann",Undisclosed,0.0
509392,"Elliot, Mackenzie",Undisclosed,0.0
509393,"Graniere, Anthony",Undisclosed,0.0
509394,"Nguyen, Katherine",Undisclosed,0.0
509395,"Khiry Gerbasio, Dina",Undisclosed,0.0
509396,Patel Blount Morris Rodriguez Education Matters,Undisclosed,0.0
509500,Taube Verdibello Williams Walker For Stronger School,Undisclosed,0.0
