CandidateID,Candidate,Contributor Type,Total Contributions,Number of Contributions
503124,"Ekladious, Mina",Business/ Corp Assoc/ PAC,2000.0,1
503124,"Ekladious, Mina",Business/Corp,24550.0,18
503124,"Ekladious, Mina",Individual,9750.0,20
503124,"Ekladious, Mina",Trade Association PAC,4500.0,3
503124,"Ekladious, Mina",Union,1500.0,1
503165,"Dublin, Jeffrey",(Unknown),0.0,0
503165,"Dublin, Jeffrey",Business/Corp,1200.0,3
503165,"Dublin, Jeffrey",Candidate Committee,750.0,2
503165,"Dublin, Jeffrey",Individual,21275.0,66
503165,"Dublin, Jeffrey",Political Cmte,3500.0,5
503165,"Dublin, Jeffrey",Trade Association PAC,300.0,1
503165,"Dublin, Jeffrey",Union,250.0,1
503165,"Dublin, Jeffrey",Union PAC,700.0,2
503283,"Gillen, Thomas",(Unknown),0.0,0
503444,"Valdez, Alex",(Unknown),2250.0,2
503444,"Valdez, Alex",Business/Corp,500.0,1
503444,"Valdez, Alex",Individual,20302.0,25
503444,"Valdez, Alex",Professional PAC,3000.0,1
503444,"Valdez, Alex",Union PAC,2537.0,3
503454,"Desmond, Mary Jane",(Unknown),0.0,0
503455,"Acosta, Anthony",(Unknown),0.0,0
503456,"Fiermonte, Karen",(Unknown),0.0,0
503457,"Lavelle, Dawn",(Unknown),0.0,0
503458,Desmond Acosta Fiermonte & Lavelle,Business/Corp,2000.0,1
503458,Desmond Acosta Fiermonte & Lavelle,Individual,47364.0,41
503458,Desmond Acosta Fiermonte & Lavelle,Misc/ Other,5625.0,5
503458,Desmond Acosta Fiermonte & Lavelle,Union,1000.0,2
503499,"Hector, Lorgia",(Unknown),0.0,0
503500,"Jimenez, Karina",(Unknown),0.0,0
503501,"Patel, Kanaiyalal",(Unknown),0.0,0
503536,"Bautista, Ronald",(Unknown),0.0,0
503536,"Bautista, Ronald",Individual,34097.0,109
503558,"Sebik, John Milan",(Unknown),0.0,0
503570,"Zapata, George",(Unknown),0.0,0
503571,"Solano, Dennis",(Unknown),0.0,0
503572,"Bonilla, Sarah",(Unknown),0.0,0
503573,Zapata Solano Bonilla & Theodoropoulos,Business/Corp,1700.0,4
503573,Zapata Solano Bonilla & Theodoropoulos,Individual,14457.0,36
503573,Zapata Solano Bonilla & Theodoropoulos,Interest,0.0,2
503573,Zapata Solano Bonilla & Theodoropoulos,Political Party Cmte,8900.0,6
503579,"Johnson, Pam",(Unknown),0.0,0
503579,"Johnson, Pam",Business/Corp,500.0,1
503579,"Johnson, Pam",Individual,2050.0,3
503579,"Johnson, Pam",Political Cmte,1000.0,1
503579,"Johnson, Pam",Union,1037.0,1
503610,"Cannata, John",(Unknown),0.0,0
503611,"Cabrera, Linda",(Unknown),0.0,0
503612,"Pinal, Richard",(Unknown),0.0,0
503613,"Codina, Henry",(Unknown),0.0,0
503614,"Jover, Aylen",(Unknown),0.0,0
503615,"Pfeil, Sandra",(Unknown),0.0,0
503623,"Morales-Jennings, Susan",(Unknown),0.0,0
503624,"Iordamlis, Tina",(Unknown),0.0,0
503630,"Ritorto, Dominick",(Unknown),0.0,0
503746,"Pearl, Jim",(Unknown),0.0,0
503747,"Devaney, Patrick Sr",(Unknown),0.0,0
503783,"Verile, Michael P",(Unknown),0.0,0
503989,"Cedeno, Fanny",(Unknown),0.0,0
504232,"Alexander, Melissa",(Unknown),0.0,0
504233,"Raza, Qamar",(Unknown),0.0,0
504234,"Bennett, Lawrence M",Business/Corp,9800.0,7
504234,"Bennett, Lawrence M",Candidate Committee,1346.0,2
504234,"Bennett, Lawrence M",Individual,7300.0,11
504234,"Bennett, Lawrence M",Misc/ Other,2250.0,1
504234,"Bennett, Lawrence M",Union,500.0,1
504235,"Gopalak, Anmol",(Unknown),0.0,0
504236,"De Oliveira, Acacio",(Unknown),0.0,0
504237,"Zincavage, Jeanne",(Unknown),0.0,0
504238,"Malave, Juana",(Unknown),0.0,0
504239,"Huaranga, Jesus R",(Unknown),0.0,0
504240,"Diaco, Joseph",(Unknown),0.0,0
504241,"Woods, James T",(Unknown),0.0,0
